drug,country,analysis
Adderall,Australia,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A GP will not usually be granted an authority to prescribe schedule 8 stimulants without the explicit written support of a relevant specialist medical practitioner and, diagnosis and treatment stability has been established.', 'regulations': 'In NSW, doctors who are authorised by the NSW Ministry of Health may prescribe psychostimulant medication. Special conditions allow Schedule 8 poisons to be prescribed without a permit under specified medical conditions.'}"
Adderall,Austria,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': ""A prescription from an Austrian doctor is required, specifically a special addictive drug's prescription due to its classification as a narcotic drug."", 'regulations': ""Adderall is categorized as a narcotic drug by law in Austria. It can only be obtained with a special addictive drug's prescription, and prescriptions from other EU countries can be filled under certain conditions.""}"
Adderall,Belgium,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid medical prescription or certificate validated by public authorities is required for bringing the medication into Belgium.', 'regulations': ""ADHD medication is controlled; travelers should carry a doctor's letter indicating the reason for prescription and medications must be from authorized pharmacies.""}"
Adderall,Canada,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Consultation with a physician is required.', 'regulations': 'Adderall XR is subject to controlled substance regulations due to its potential for misuse and dependence.'}"
Adderall,Chile,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A thorough evaluation by a healthcare provider, including personal examination and ADHD symptom rating scales.', 'regulations': 'Controlled substances like Adderall are regulated due to their potential for misuse and dependence, and must be prescribed following a proper diagnosis.'}"
Adderall,Colombia,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare provider is required to obtain Adderall in Colombia.', 'regulations': ""Adderall is classified as a controlled substance under Colombia's Law 30 of 1986, and its use is regulated by the Ministry of Health and Social Protection and the National Drug Council.""}"
Adderall,Costa Rica,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.EASILY_AVAILABLE: 'easily available'>, 'prescription_requirements': 'A prescription from a doctor or a licensed healthcare professional is needed to obtain Adderall in Costa Rica.', 'regulations': ""Law 8204 of 2001 defines drugs by reference to UN Convention definitions, and the Drug Surveillance Council (JVD) must maintain a comprehensive, updated list published on the Ministry of Health's website.""}"
Adderall,Czech Republic,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription is required, preferably in a language understood by local authorities.', 'regulations': 'Possession is legal in amounts corresponding to personal use; selling and mediation of sale are illegal.'}"
Adderall,Denmark,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Documentation for your condition from your home doctor and information about the specific type of medication you take.', 'regulations': 'You can import medicines for personal use but you are only allowed to bring a maximum of 14 days supply of Adderall. A prescription from one EU country is valid in other EU countries, but the medicine may not be available or may have a different name in Denmark.'}"
Adderall,Estonia,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Valid prescription required from a licensed healthcare provider', 'regulations': ""Governed by Estonia's Narcotic Drugs and Psychotropic Substances Act, which establishes schedules for drugs and fulfills treaty obligations under international drug control conventions.""}"
